Entidad,Numero_de_colmenas
Aguascalientes,17500
Baja California,8672
Baja California Sur,4680
Campeche,205377
Chiapas,161822
Chihuahua,34061
Ciudad de México,4000
Coahuila,2650
Colima,17000
Durango,13992
Estado de México,40657
Guanajuato,39523
Guerrero,81194
Hidalgo,23454
Jalisco,120128
Michoacán,67842
Morelos,66180
Nayarit,11312
Nuevo León,4720
Oaxaca,116860
Puebla,91951
Querétaro,2028
Quintana Roo,120188
San Luis Potosi,44202
Sinaloa,19237
Sonora,19184
Tabasco,10542
Tamaulipas,22854
Tlaxcala,32003
Veracruz,138009
Yucatán,250073
Zacatecas,57876
